timestamp_iso,timestamp,soil_raw,rain_raw,soil_pct,rain_pct,soil_smoothed,rain_smoothed,soil_status,rain_status,soil_trend,rain_trend,alerts
2026-04-25T09:27:38.066453+00:00,1777109258.066453,617,999,0.88,0.13,0.88,0.13,dry,none,stable,stable,TOO_DRY
2026-04-25T09:27:40.001134+00:00,1777109260.0011342,619,999,0.29,0.13,0.58,0.13,dry,none,stable,stable,TOO_DRY
2026-04-25T09:27:42.069378+00:00,1777109262.069378,619,999,0.29,0.13,0.49,0.13,dry,none,stable,stable,TOO_DRY
2026-04-25T09:27:44.055579+00:00,1777109264.0555792,619,999,0.29,0.13,0.44,0.13,dry,none,stable,stable,TOO_DRY
2026-04-25T09:27:46.126971+00:00,1777109266.1269708,618,998,0.59,0.27,0.47,0.16,dry,none,stable,stable,TOO_DRY
2026-04-25T09:27:48.050813+00:00,1777109268.0508132,617,998,0.88,0.27,0.54,0.18,dry,none,stable,stable,TOO_DRY
2026-04-25T09:27:50.035103+00:00,1777109270.0351026,614,997,1.76,0.4,0.71,0.21,dry,none,stable,stable,TOO_DRY
2026-04-25T09:27:51.990574+00:00,1777109271.9905741,611,996,2.65,0.53,0.95,0.25,dry,none,stable,stable,TOO_DRY
2026-04-25T09:27:54.066612+00:00,1777109274.0666118,607,995,3.82,0.67,1.32,0.32,dry,none,stable,stable,TOO_DRY
2026-04-25T09:27:56.081828+00:00,1777109276.0818284,602,994,5.29,0.8,1.95,0.4,dry,none,stable,stable,TOO_DRY
2026-04-25T09:27:58.029606+00:00,1777109278.029606,596,992,7.06,1.07,2.79,0.52,dry,none,rising,stable,TOO_DRY
2026-04-25T09:28:00.217009+00:00,1777109280.2170088,590,991,8.82,1.2,3.86,0.65,dry,none,rising,stable,TOO_DRY
2026-04-25T09:28:02.119982+00:00,1777109282.1199822,583,989,10.88,1.47,5.15,0.8,dry,none,rising,stable,TOO_DRY
2026-04-25T09:28:04.179331+00:00,1777109284.1793306,575,987,13.24,1.73,6.69,0.98,dry,none,rising,stable,TOO_DRY
2026-04-25T09:28:06.033001+00:00,1777109286.0330007,567,985,15.59,2.0,8.42,1.18,dry,none,rising,stable,TOO_DRY
2026-04-25T09:28:08.074076+00:00,1777109288.0740762,558,983,18.24,2.27,10.37,1.4,dry,none,rising,stable,TOO_DRY
2026-04-25T09:28:10.111594+00:00,1777109290.1115944,548,981,21.18,2.53,12.54,1.63,dry,none,rising,stable,TOO_DRY
2026-04-25T09:28:12.062913+00:00,1777109292.0629132,539,978,23.82,2.93,14.85,1.9,dry,none,rising,stable,TOO_DRY
2026-04-25T09:28:14.091636+00:00,1777109294.091636,528,976,27.06,3.2,17.35,2.17,dry,none,rising,stable,TOO_DRY
2026-04-25T09:28:16.045846+00:00,1777109296.0458462,518,973,30.0,3.6,20.0,2.47,dry,none,rising,stable,TOO_DRY
2026-04-25T09:28:18.096013+00:00,1777109298.0960133,506,970,33.53,4.0,22.83,2.78,dry,none,rising,stable,TOO_DRY
2026-04-25T09:28:20.044871+00:00,1777109300.0448713,495,967,36.76,4.4,25.77,3.12,low,none,rising,stable,
2026-04-25T09:28:22.107567+00:00,1777109302.107567,484,964,40.0,4.8,28.82,3.47,low,none,rising,stable,
2026-04-25T09:28:24.030379+00:00,1777109304.030379,472,961,43.53,5.2,31.98,3.83,low,none,rising,stable,
2026-04-25T09:28:26.085220+00:00,1777109306.0852199,460,957,47.06,5.73,35.22,4.23,low,none,rising,stable,
2026-04-25T09:28:28.229907+00:00,1777109308.2299073,448,954,50.59,6.13,38.57,4.63,low,none,rising,stable,
2026-04-25T09:28:30.016058+00:00,1777109310.0160582,436,950,54.12,6.67,41.95,5.07,low,none,rising,stable,
2026-04-25T09:28:32.035939+00:00,1777109312.0359392,424,946,57.65,7.2,45.41,5.52,optimal,none,rising,stable,
2026-04-25T09:28:34.044218+00:00,1777109314.0442176,413,943,60.88,7.6,48.82,5.97,optimal,none,rising,stable,
2026-04-25T09:28:36.019993+00:00,1777109316.0199928,401,939,64.41,8.13,52.28,6.43,optimal,none,rising,stable,
2026-04-25T09:28:38.075480+00:00,1777109318.0754797,390,935,67.65,8.67,55.74,6.92,optimal,none,rising,stable,
2026-04-25T09:28:40.106835+00:00,1777109320.1068351,379,930,70.88,9.33,59.16,7.43,optimal,none,rising,stable,
2026-04-25T09:28:42.161630+00:00,1777109322.1616302,368,926,74.12,9.87,62.54,7.95,optimal,none,rising,stable,
2026-04-25T09:28:44.174489+00:00,1777109324.174489,358,922,77.06,10.4,65.85,8.48,optimal,none,rising,stable,
2026-04-25T09:28:46.217827+00:00,1777109326.2178273,348,917,80.0,11.07,69.08,9.03,optimal,none,rising,stable,
2026-04-25T09:28:48.096420+00:00,1777109328.0964203,339,913,82.65,11.6,72.21,9.58,optimal,none,rising,stable,
2026-04-25T09:28:50.043402+00:00,1777109330.043402,330,908,85.29,12.27,75.26,10.17,wet,none,rising,stable,
2026-04-25T09:28:52.090420+00:00,1777109332.0904202,322,903,87.65,12.93,78.16,10.77,wet,none,rising,stable,
2026-04-25T09:28:54.033721+00:00,1777109334.033721,314,898,90.0,13.6,80.96,11.38,wet,none,rising,stable,
2026-04-25T09:28:56.130579+00:00,1777109336.1305795,308,894,91.76,14.13,83.57,11.98,wet,none,rising,stable,
2026-04-25T09:28:58.002614+00:00,1777109338.0026138,301,889,93.82,14.8,86.03,12.6,wet,none,rising,stable,TOO_WET
2026-04-25T09:29:00.090514+00:00,1777109340.0905144,296,884,95.29,15.47,88.31,13.23,wet,none,rising,stable,TOO_WET
2026-04-25T09:29:02.125517+00:00,1777109342.1255167,291,878,96.76,16.27,90.4,13.88,wet,none,rising,stable,TOO_WET
2026-04-25T09:29:04.073865+00:00,1777109344.0738654,287,873,97.94,16.93,92.31,14.55,wet,none,rising,stable,TOO_WET
2026-04-25T09:29:06.018601+00:00,1777109346.0186014,284,868,98.82,17.6,94.0,15.22,wet,light,rising,stable,TOO_WET
2026-04-25T09:29:08.114111+00:00,1777109348.1141112,282,863,99.41,18.27,95.47,15.88,wet,light,rising,stable,TOO_WET
2026-04-25T09:29:10.119409+00:00,1777109350.1194093,280,857,100.0,19.07,96.72,16.57,wet,light,rising,stable,TOO_WET
2026-04-25T09:29:12.064463+00:00,1777109352.0644631,280,852,100.0,19.73,97.75,17.27,wet,light,rising,stable,TOO_WET
2026-04-25T09:29:14.106284+00:00,1777109354.1062844,280,847,100.0,20.4,98.53,17.97,wet,light,stable,stable,TOO_WET
2026-04-25T09:29:16.053241+00:00,1777109356.053241,281,841,99.71,21.2,99.08,18.68,wet,light,stable,stable,TOO_WET
2026-04-25T09:29:18.072070+00:00,1777109358.0720701,282,836,99.41,21.87,99.41,19.38,wet,light,stable,stable,TOO_WET
2026-04-25T09:29:20.146046+00:00,1777109360.1460462,285,830,98.53,22.67,99.48,20.1,wet,light,stable,stable,TOO_WET
2026-04-25T09:29:22.011498+00:00,1777109362.0114977,289,825,97.35,23.33,99.3,20.82,wet,light,stable,stable,TOO_WET
2026-04-25T09:29:24.126245+00:00,1777109364.1262445,293,819,96.18,24.13,98.9,21.55,wet,light,stable,stable,TOO_WET
2026-04-25T09:29:26.085994+00:00,1777109366.0859935,298,813,94.71,24.93,98.24,22.28,wet,light,falling,stable,TOO_WET
2026-04-25T09:29:28.181657+00:00,1777109368.1816566,303,808,93.24,25.6,97.39,23.02,wet,light,falling,stable,TOO_WET
2026-04-25T09:29:30.098817+00:00,1777109370.0988173,310,802,91.18,26.4,96.29,23.77,wet,light,falling,stable,TOO_WET
2026-04-25T09:29:32.131189+00:00,1777109372.131189,317,797,89.12,27.07,94.97,24.5,wet,light,falling,stable,TOO_WET
2026-04-25T09:29:34.110142+00:00,1777109374.110142,325,791,86.76,27.87,93.38,25.25,wet,light,falling,stable,TOO_WET
2026-04-25T09:29:36.123595+00:00,1777109376.1235955,333,785,84.41,28.67,91.62,26.0,wet,light,falling,rising,TOO_WET
2026-04-25T09:29:38.879274+00:00,1777109378.879274,342,780,81.76,29.33,89.67,26.75,wet,light,falling,stable,TOO_WET
2026-04-25T09:29:40.133561+00:00,1777109380.1335607,352,774,78.82,30.13,87.5,27.5,wet,light,falling,stable,TOO_WET
2026-04-25T09:29:44.985958+00:00,1777109384.985958,362,769,75.88,30.8,85.15,28.23,wet,light,falling,stable,TOO_WET
2026-04-25T09:32:16.395715+00:00,1777109536.3957148,281,652,99.71,46.4,85.95,30.83,wet,light,falling,rising,TOO_WET
2026-04-25T09:32:16.527206+00:00,1777109536.527206,405,747,63.24,33.73,82.46,31.75,wet,light,falling,rising,
2026-04-25T09:32:16.528604+00:00,1777109536.5286043,417,741,59.71,34.53,78.79,32.68,wet,light,falling,rising,
2026-04-25T09:32:16.529505+00:00,1777109536.529505,429,736,56.18,35.2,74.96,33.6,optimal,light,falling,rising,
2026-04-25T09:32:16.530722+00:00,1777109536.5307221,440,731,52.94,35.87,71.03,34.5,optimal,light,falling,stable,
2026-04-25T09:32:16.531894+00:00,1777109536.531894,452,726,49.41,36.53,66.99,35.4,optimal,light,falling,stable,
2026-04-25T09:32:16.532571+00:00,1777109536.5325708,464,720,45.88,37.33,62.87,36.3,optimal,light,falling,stable,
2026-04-25T09:32:16.533725+00:00,1777109536.5337253,476,715,42.35,38.0,58.68,37.2,optimal,light,falling,stable,
2026-04-25T09:32:16.534786+00:00,1777109536.5347862,488,710,38.82,38.67,51.07,36.23,optimal,light,falling,stable,
2026-04-25T09:32:16.535576+00:00,1777109536.535576,499,705,35.59,39.33,47.61,36.93,optimal,light,falling,stable,
2026-04-25T09:32:16.536328+00:00,1777109536.5363276,510,700,32.35,40.0,44.19,37.62,low,light,falling,stable,
2026-04-25T09:32:16.537428+00:00,1777109536.5374281,521,696,29.12,40.53,40.81,38.28,low,light,falling,stable,
